NO,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
402.0,28.0,male,2.0,own,little,moderate,1887.0,18.0,business
403.0,27.0,male,2.0,own,little,little,8648.0,24.0,business
404.0,27.0,male,1.0,own,little,little,802.0,14.0,car
405.0,43.0,male,2.0,own,little,moderate,2899.0,18.0,car
406.0,22.0,male,2.0,own,little,moderate,2039.0,24.0,radio/TV
407.0,43.0,male,2.0,own,little,little,2197.0,24.0,car
408.0,27.0,male,2.0,own,little,little,1053.0,15.0,radio/TV
409.0,26.0,male,3.0,own,quite rich,little,3235.0,24.0,radio/TV
410.0,28.0,male,2.0,own,quite rich,rich,939.0,12.0,car
411.0,20.0,female,2.0,own,little,moderate,1967.0,24.0,radio/TV
412.0,35.0,male,3.0,own,little,little,7253.0,33.0,car
413.0,42.0,male,3.0,own,little,little,2292.0,12.0,business
414.0,40.0,male,1.0,rent,quite rich,little,1597.0,10.0,car
415.0,35.0,female,2.0,own,little,little,1381.0,24.0,car
416.0,35.0,male,2.0,own,little,little,5842.0,36.0,car
417.0,33.0,male,1.0,own,little,little,2579.0,12.0,car
418.0,23.0,female,2.0,rent,little,little,8471.0,18.0,education
419.0,31.0,female,3.0,own,quite rich,little,2782.0,21.0,car
420.0,33.0,female,2.0,own,little,moderate,1042.0,18.0,car
421.0,20.0,female,2.0,rent,rich,little,3186.0,15.0,car
422.0,30.0,male,2.0,own,little,moderate,2028.0,12.0,car
423.0,47.0,male,1.0,own,little,moderate,958.0,12.0,car
424.0,34.0,male,3.0,own,moderate,little,1591.0,21.0,furniture/equipment
425.0,25.0,female,2.0,own,little,moderate,2762.0,12.0,furniture/equipment
426.0,21.0,male,2.0,rent,little,moderate,2779.0,18.0,car
427.0,29.0,male,2.0,own,little,little,2743.0,28.0,radio/TV
428.0,46.0,male,2.0,own,rich,little,1149.0,18.0,radio/TV
429.0,20.0,male,2.0,own,little,little,1313.0,9.0,furniture/equipment
430.0,55.0,female,0.0,free,little,little,1190.0,18.0,repairs
431.0,74.0,male,1.0,own,little,little,3448.0,5.0,business
432.0,29.0,male,3.0,own,little,moderate,11328.0,24.0,vacation/others
433.0,36.0,male,3.0,free,little,little,1872.0,6.0,furniture/equipment
434.0,33.0,male,2.0,own,little,little,2058.0,24.0,repairs
435.0,25.0,male,2.0,own,little,little,2136.0,9.0,furniture/equipment
436.0,25.0,male,2.0,own,little,moderate,1484.0,12.0,radio/TV
437.0,23.0,male,1.0,rent,quite rich,little,660.0,6.0,repairs
438.0,37.0,female,2.0,own,rich,little,1287.0,24.0,car
439.0,65.0,male,0.0,own,little,little,3394.0,42.0,repairs
440.0,26.0,female,0.0,own,little,rich,609.0,12.0,business
441.0,39.0,male,3.0,own,little,little,1884.0,12.0,car
442.0,30.0,female,2.0,own,little,little,1620.0,12.0,furniture/equipment
443.0,29.0,male,2.0,own,little,moderate,2629.0,20.0,vacation/others
444.0,41.0,male,1.0,own,little,little,719.0,12.0,education
445.0,30.0,female,3.0,own,little,moderate,5096.0,48.0,furniture/equipment
446.0,41.0,female,1.0,rent,little,little,1244.0,9.0,education
447.0,34.0,female,2.0,own,little,little,1842.0,36.0,car
448.0,35.0,male,2.0,own,little,moderate,2576.0,7.0,radio/TV
449.0,55.0,female,3.0,own,little,rich,1424.0,12.0,furniture/equipment
450.0,61.0,male,2.0,own,rich,moderate,1512.0,15.0,repairs
451.0,30.0,male,3.0,own,little,little,11054.0,36.0,car
452.0,29.0,female,2.0,own,little,little,518.0,6.0,radio/TV
453.0,34.0,male,2.0,own,little,little,2759.0,12.0,furniture/equipment
454.0,35.0,male,3.0,own,little,little,2670.0,24.0,car
455.0,31.0,male,2.0,own,little,little,4817.0,24.0,car
456.0,29.0,female,3.0,own,little,little,2679.0,24.0,car
457.0,36.0,male,2.0,rent,little,little,3905.0,11.0,car
458.0,35.0,male,2.0,free,little,little,3386.0,12.0,car
459.0,27.0,female,2.0,own,little,little,343.0,6.0,domestic appliances
460.0,32.0,male,2.0,own,little,little,4594.0,18.0,radio/TV
461.0,37.0,male,2.0,own,little,little,3620.0,36.0,furniture/equipment
462.0,36.0,male,2.0,own,little,little,1721.0,15.0,car
463.0,34.0,female,3.0,rent,little,moderate,3017.0,12.0,furniture/equipment
464.0,38.0,male,2.0,own,little,moderate,754.0,12.0,education
465.0,34.0,male,2.0,own,little,little,1950.0,18.0,business
466.0,63.0,male,2.0,own,little,little,2924.0,24.0,car
467.0,29.0,female,1.0,rent,little,little,1659.0,24.0,radio/TV
468.0,32.0,male,2.0,own,little,little,7238.0,48.0,radio/TV
469.0,26.0,female,2.0,own,little,little,2764.0,33.0,business
470.0,35.0,male,1.0,own,little,little,4679.0,24.0,car
471.0,22.0,male,2.0,rent,moderate,moderate,3092.0,24.0,radio/TV
472.0,23.0,female,2.0,own,little,little,448.0,6.0,education
473.0,28.0,male,1.0,own,little,little,654.0,9.0,car
474.0,36.0,male,3.0,own,little,little,1238.0,6.0,education
475.0,33.0,male,2.0,own,little,moderate,1245.0,18.0,radio/TV
476.0,26.0,female,2.0,rent,little,little,3114.0,18.0,furniture/equipment
477.0,24.0,male,2.0,own,quite rich,little,2569.0,39.0,car
478.0,25.0,male,2.0,own,little,rich,5152.0,24.0,radio/TV
479.0,39.0,male,1.0,own,moderate,moderate,1037.0,12.0,business
480.0,44.0,male,2.0,own,little,little,1478.0,15.0,furniture/equipment
481.0,23.0,female,1.0,own,little,moderate,3573.0,12.0,radio/TV
482.0,26.0,male,2.0,own,little,moderate,1201.0,24.0,car
483.0,57.0,female,2.0,rent,rich,little,3622.0,30.0,furniture/equipment
484.0,30.0,female,2.0,own,rich,little,960.0,15.0,furniture/equipment
485.0,44.0,male,2.0,own,quite rich,little,1163.0,12.0,car
486.0,47.0,male,3.0,own,little,moderate,1209.0,6.0,car
487.0,52.0,male,2.0,own,little,little,3077.0,12.0,radio/TV
488.0,62.0,female,2.0,free,little,little,3757.0,24.0,car
489.0,35.0,male,1.0,rent,moderate,little,1418.0,10.0,car
490.0,26.0,male,2.0,rent,little,little,3518.0,6.0,car
491.0,26.0,male,2.0,own,little,little,1934.0,12.0,radio/TV
492.0,42.0,female,3.0,free,little,moderate,8318.0,27.0,business
493.0,27.0,female,2.0,own,moderate,little,1237.0,6.0,radio/TV
494.0,38.0,male,2.0,own,little,moderate,368.0,6.0,radio/TV
495.0,39.0,male,1.0,rent,little,little,2122.0,12.0,car
496.0,20.0,male,2.0,own,little,little,2996.0,24.0,furniture/equipment
497.0,29.0,male,3.0,rent,moderate,moderate,9034.0,36.0,furniture/equipment
498.0,40.0,male,2.0,own,little,little,1585.0,24.0,furniture/equipment
499.0,32.0,male,1.0,own,little,moderate,1301.0,18.0,radio/TV
500.0,28.0,male,2.0,own,moderate,rich,1323.0,6.0,car
501.0,27.0,female,2.0,own,little,little,3123.0,24.0,car
502.0,42.0,male,2.0,free,little,little,5493.0,36.0,car
503.0,49.0,male,2.0,own,moderate,rich,1126.0,9.0,radio/TV
504.0,38.0,male,2.0,own,moderate,moderate,1216.0,24.0,radio/TV
505.0,24.0,female,2.0,rent,little,little,1207.0,24.0,car
506.0,27.0,male,1.0,own,little,little,1309.0,10.0,car
507.0,36.0,male,2.0,own,quite rich,rich,2360.0,15.0,car
508.0,34.0,male,3.0,own,moderate,moderate,6850.0,15.0,car
509.0,28.0,male,2.0,own,little,little,1413.0,24.0,radio/TV
510.0,45.0,male,3.0,own,moderate,little,8588.0,39.0,car
511.0,26.0,male,2.0,own,little,little,759.0,12.0,car
512.0,32.0,male,3.0,free,little,little,4686.0,36.0,car
513.0,26.0,male,2.0,rent,little,rich,2687.0,15.0,business
514.0,20.0,male,2.0,rent,little,moderate,585.0,12.0,radio/TV
515.0,54.0,male,2.0,own,little,little,2255.0,24.0,car
516.0,37.0,female,2.0,own,little,little,609.0,6.0,car
517.0,40.0,male,1.0,own,little,little,1361.0,6.0,car
518.0,23.0,female,2.0,rent,little,little,7127.0,36.0,furniture/equipment
519.0,43.0,male,2.0,own,moderate,little,1203.0,6.0,car
520.0,36.0,male,2.0,free,little,little,700.0,6.0,radio/TV
521.0,44.0,male,2.0,free,little,little,5507.0,24.0,repairs
522.0,24.0,female,2.0,own,little,little,3190.0,18.0,radio/TV
523.0,53.0,male,2.0,free,little,little,7119.0,48.0,furniture/equipment
524.0,23.0,female,2.0,own,moderate,little,3488.0,24.0,car
525.0,26.0,female,1.0,own,little,moderate,1113.0,18.0,radio/TV
526.0,30.0,male,2.0,own,little,moderate,7966.0,26.0,car
527.0,31.0,female,2.0,own,moderate,little,1532.0,15.0,education
528.0,42.0,male,1.0,own,little,little,1503.0,4.0,radio/TV
529.0,31.0,male,2.0,rent,little,little,2302.0,36.0,radio/TV
530.0,41.0,male,1.0,own,little,little,662.0,6.0,car
531.0,32.0,male,2.0,own,little,moderate,2273.0,36.0,education
532.0,28.0,female,2.0,rent,moderate,moderate,2631.0,15.0,car
533.0,41.0,male,2.0,rent,little,little,1503.0,12.0,car
534.0,26.0,male,2.0,own,moderate,little,1311.0,24.0,radio/TV
535.0,25.0,male,2.0,own,little,little,3105.0,24.0,radio/TV
536.0,33.0,male,2.0,rent,little,rich,2319.0,21.0,education
537.0,75.0,female,3.0,own,little,little,1374.0,6.0,car
538.0,37.0,female,2.0,own,little,moderate,3612.0,18.0,furniture/equipment
539.0,42.0,male,3.0,free,little,little,7763.0,48.0,car
540.0,45.0,female,1.0,own,little,rich,3049.0,18.0,furniture/equipment
541.0,23.0,male,2.0,rent,little,moderate,1534.0,12.0,radio/TV
542.0,60.0,male,2.0,free,little,little,2032.0,24.0,car
543.0,31.0,male,2.0,own,little,little,6350.0,30.0,furniture/equipment
544.0,34.0,male,1.0,own,little,rich,2864.0,18.0,furniture/equipment
545.0,61.0,male,1.0,own,little,little,1255.0,12.0,car
546.0,43.0,male,2.0,free,little,little,1333.0,24.0,car
547.0,37.0,female,2.0,own,little,little,2022.0,24.0,car
548.0,32.0,male,2.0,own,little,little,1552.0,24.0,radio/TV
549.0,24.0,female,1.0,own,little,little,626.0,12.0,radio/TV
550.0,35.0,male,2.0,free,little,little,8858.0,48.0,car
551.0,23.0,female,2.0,own,little,little,996.0,12.0,repairs
552.0,45.0,male,1.0,own,quite rich,little,1750.0,6.0,radio/TV
553.0,34.0,male,2.0,own,little,little,6999.0,48.0,radio/TV
554.0,27.0,male,2.0,own,moderate,moderate,1995.0,12.0,car
555.0,67.0,female,3.0,own,little,moderate,1199.0,9.0,education
556.0,22.0,male,2.0,own,little,moderate,1331.0,12.0,radio/TV
557.0,28.0,female,2.0,own,moderate,moderate,2278.0,18.0,car
558.0,29.0,female,2.0,own,little,little,5003.0,21.0,car
559.0,27.0,male,2.0,own,little,little,3552.0,24.0,furniture/equipment
560.0,31.0,male,1.0,own,little,moderate,1928.0,18.0,furniture/equipment
561.0,49.0,male,2.0,free,little,little,2964.0,24.0,car
562.0,24.0,male,1.0,rent,little,little,1546.0,24.0,radio/TV
563.0,29.0,female,2.0,own,little,rich,683.0,6.0,radio/TV
564.0,37.0,male,2.0,free,little,moderate,12389.0,36.0,car
565.0,37.0,male,3.0,own,little,moderate,4712.0,24.0,business
566.0,23.0,female,2.0,rent,moderate,moderate,1553.0,24.0,radio/TV
567.0,36.0,male,2.0,own,little,little,1372.0,12.0,car
568.0,34.0,male,2.0,own,rich,little,2578.0,24.0,radio/TV
569.0,41.0,male,2.0,own,little,moderate,3979.0,48.0,radio/TV
570.0,31.0,female,2.0,own,little,little,6758.0,48.0,radio/TV
571.0,23.0,female,1.0,rent,little,little,3234.0,24.0,furniture/equipment
572.0,38.0,male,2.0,own,little,little,5954.0,30.0,radio/TV
573.0,26.0,female,3.0,rent,little,little,5433.0,24.0,car
574.0,22.0,female,1.0,own,little,little,806.0,15.0,business
575.0,27.0,male,1.0,own,little,moderate,1082.0,9.0,radio/TV
576.0,24.0,female,2.0,own,little,little,2788.0,15.0,furniture/equipment
577.0,27.0,female,2.0,own,little,moderate,2930.0,12.0,radio/TV
578.0,33.0,female,2.0,own,little,little,1927.0,24.0,education
579.0,27.0,male,2.0,own,little,moderate,2820.0,36.0,car
580.0,27.0,male,1.0,own,little,little,937.0,24.0,education
581.0,30.0,male,2.0,own,little,moderate,1056.0,18.0,car
582.0,49.0,male,1.0,own,little,moderate,3124.0,12.0,car
583.0,26.0,female,2.0,rent,little,little,1388.0,9.0,furniture/equipment
584.0,33.0,male,1.0,rent,little,moderate,2384.0,36.0,repairs
585.0,52.0,female,3.0,free,little,little,2133.0,12.0,car
586.0,20.0,female,2.0,rent,little,little,2039.0,18.0,furniture/equipment
587.0,36.0,male,2.0,rent,little,little,2799.0,9.0,car
588.0,21.0,male,1.0,own,little,little,1289.0,12.0,furniture/equipment
589.0,47.0,male,1.0,own,little,little,1217.0,18.0,domestic appliances
590.0,60.0,male,2.0,own,little,little,2246.0,12.0,furniture/equipment
591.0,58.0,female,1.0,own,little,little,385.0,12.0,radio/TV
592.0,42.0,female,2.0,rent,little,moderate,1965.0,24.0,car
593.0,36.0,female,1.0,own,rich,little,1572.0,21.0,business
594.0,20.0,female,1.0,rent,little,moderate,2718.0,24.0,car
595.0,40.0,male,3.0,own,little,little,1358.0,24.0,vacation/others
596.0,32.0,female,1.0,own,moderate,moderate,931.0,6.0,car
597.0,23.0,female,2.0,rent,little,little,1442.0,24.0,car
598.0,36.0,male,1.0,own,little,moderate,4241.0,24.0,business
599.0,31.0,male,2.0,own,little,little,2775.0,18.0,car
600.0,32.0,male,2.0,free,little,little,3863.0,24.0,business
601.0,45.0,female,2.0,own,little,moderate,2329.0,7.0,radio/TV
602.0,30.0,female,2.0,own,little,moderate,918.0,9.0,furniture/equipment
603.0,34.0,female,1.0,free,little,moderate,1837.0,24.0,education
604.0,28.0,female,3.0,own,little,little,3349.0,36.0,furniture/equipment
605.0,23.0,female,2.0,own,little,rich,1275.0,10.0,furniture/equipment
606.0,22.0,male,2.0,own,quite rich,little,2828.0,24.0,furniture/equipment
607.0,74.0,male,3.0,own,little,little,4526.0,24.0,business
608.0,50.0,female,2.0,free,moderate,moderate,2671.0,36.0,radio/TV
609.0,33.0,male,2.0,own,little,little,2051.0,18.0,radio/TV
610.0,45.0,male,2.0,free,little,little,1300.0,15.0,car
611.0,22.0,female,2.0,own,moderate,little,741.0,12.0,domestic appliances
612.0,48.0,female,1.0,free,moderate,rich,1240.0,10.0,car
613.0,29.0,female,2.0,own,rich,little,3357.0,21.0,radio/TV
614.0,22.0,female,2.0,rent,little,little,3632.0,24.0,car
615.0,22.0,female,2.0,own,little,little,1808.0,18.0,furniture/equipment
616.0,48.0,male,3.0,own,little,moderate,12204.0,48.0,business
617.0,27.0,male,3.0,free,little,moderate,9157.0,60.0,radio/TV
618.0,37.0,male,2.0,rent,little,little,3676.0,6.0,car
619.0,21.0,female,2.0,rent,moderate,moderate,3441.0,30.0,furniture/equipment
620.0,49.0,male,1.0,own,little,little,640.0,12.0,car
621.0,27.0,male,2.0,own,little,moderate,3652.0,21.0,business
622.0,32.0,male,2.0,own,little,little,1530.0,18.0,car
623.0,38.0,male,2.0,own,little,little,3914.0,48.0,business
624.0,22.0,female,2.0,rent,little,little,1858.0,12.0,furniture/equipment
625.0,65.0,male,2.0,free,little,little,2600.0,18.0,radio/TV
626.0,35.0,male,2.0,own,little,little,1979.0,15.0,radio/TV
627.0,41.0,male,2.0,own,little,rich,2116.0,6.0,furniture/equipment
628.0,29.0,male,2.0,own,moderate,moderate,1437.0,9.0,car
629.0,36.0,male,2.0,own,quite rich,little,4042.0,42.0,furniture/equipment
630.0,64.0,male,1.0,own,little,little,3832.0,9.0,education
631.0,28.0,female,2.0,own,little,little,3660.0,24.0,radio/TV
632.0,44.0,male,2.0,own,little,little,1553.0,18.0,furniture/equipment
633.0,23.0,male,2.0,own,little,moderate,1444.0,15.0,radio/TV
634.0,19.0,female,2.0,rent,little,little,1980.0,9.0,furniture/equipment
635.0,25.0,female,1.0,own,little,moderate,1355.0,24.0,car
636.0,47.0,male,2.0,own,little,little,1393.0,12.0,education
637.0,28.0,female,2.0,own,quite rich,little,1376.0,24.0,radio/TV
638.0,21.0,male,2.0,own,little,little,15653.0,60.0,radio/TV
639.0,34.0,female,2.0,own,little,little,1493.0,12.0,radio/TV
640.0,26.0,male,2.0,own,little,little,4370.0,42.0,radio/TV
641.0,27.0,female,0.0,own,little,little,750.0,18.0,education
642.0,38.0,male,1.0,own,little,moderate,1308.0,15.0,repairs
643.0,40.0,male,3.0,own,moderate,little,4623.0,15.0,education
644.0,33.0,male,2.0,own,little,little,1851.0,24.0,radio/TV
645.0,32.0,male,3.0,own,little,little,1880.0,18.0,radio/TV
646.0,27.0,male,2.0,rent,little,little,7980.0,36.0,business
647.0,32.0,male,2.0,own,little,little,4583.0,30.0,furniture/equipment
648.0,26.0,female,2.0,own,quite rich,little,1386.0,12.0,car
649.0,38.0,male,2.0,free,little,rich,947.0,24.0,car
650.0,40.0,male,1.0,rent,little,little,684.0,12.0,education
651.0,50.0,male,3.0,free,little,little,7476.0,48.0,education
652.0,37.0,male,1.0,own,little,moderate,1922.0,12.0,furniture/equipment
653.0,45.0,male,2.0,own,little,little,2303.0,24.0,car
654.0,42.0,male,3.0,own,moderate,moderate,8086.0,36.0,car
655.0,35.0,male,2.0,own,little,little,2346.0,24.0,car
656.0,22.0,male,2.0,free,little,little,3973.0,14.0,car
657.0,41.0,male,1.0,own,little,moderate,888.0,12.0,car
658.0,37.0,male,2.0,own,little,little,10222.0,48.0,radio/TV
659.0,28.0,female,2.0,own,little,moderate,4221.0,30.0,business
660.0,41.0,male,2.0,own,little,moderate,6361.0,18.0,furniture/equipment
661.0,23.0,male,2.0,rent,little,rich,1297.0,12.0,radio/TV
662.0,23.0,male,2.0,own,little,little,900.0,12.0,car
663.0,50.0,male,2.0,own,little,little,2241.0,21.0,furniture/equipment
664.0,35.0,male,3.0,own,little,moderate,1050.0,6.0,furniture/equipment
665.0,50.0,female,1.0,own,little,rich,1047.0,6.0,education
666.0,27.0,male,3.0,own,little,little,6314.0,24.0,vacation/others
667.0,34.0,male,2.0,own,rich,moderate,3496.0,30.0,furniture/equipment
668.0,27.0,female,2.0,own,little,little,3609.0,48.0,business
669.0,43.0,male,2.0,rent,little,little,4843.0,12.0,car
670.0,47.0,male,2.0,own,little,rich,3017.0,30.0,radio/TV
671.0,27.0,male,1.0,own,moderate,little,4139.0,24.0,business
672.0,31.0,male,2.0,own,moderate,little,5742.0,36.0,business
673.0,42.0,male,3.0,own,little,little,10366.0,60.0,car
674.0,24.0,male,2.0,own,quite rich,little,2080.0,6.0,car
675.0,41.0,male,1.0,own,quite rich,little,2580.0,21.0,business
676.0,26.0,female,3.0,rent,little,little,4530.0,30.0,radio/TV
677.0,33.0,male,2.0,own,little,little,5150.0,24.0,furniture/equipment
678.0,24.0,male,2.0,own,moderate,moderate,5595.0,72.0,radio/TV
679.0,64.0,male,1.0,rent,little,little,2384.0,24.0,radio/TV
680.0,26.0,female,2.0,own,little,little,1453.0,18.0,radio/TV
681.0,56.0,female,2.0,own,little,little,1538.0,6.0,education
682.0,37.0,male,2.0,free,little,little,2279.0,12.0,radio/TV
683.0,33.0,male,2.0,own,little,little,1478.0,15.0,radio/TV
684.0,47.0,male,2.0,free,little,little,5103.0,24.0,radio/TV
685.0,31.0,male,1.0,own,moderate,moderate,9857.0,36.0,business
686.0,34.0,male,2.0,free,little,little,6527.0,60.0,car
687.0,27.0,male,2.0,own,little,rich,1347.0,10.0,radio/TV
688.0,30.0,male,2.0,free,moderate,moderate,2862.0,36.0,car
689.0,35.0,male,2.0,own,moderate,little,2753.0,9.0,radio/TV
690.0,31.0,male,2.0,own,rich,little,3651.0,12.0,car
691.0,25.0,male,2.0,own,little,little,975.0,15.0,furniture/equipment
692.0,25.0,female,1.0,own,moderate,moderate,2631.0,15.0,repairs
693.0,29.0,male,2.0,own,moderate,moderate,2896.0,24.0,radio/TV
694.0,44.0,male,1.0,own,little,little,4716.0,6.0,car
695.0,28.0,male,2.0,own,little,little,2284.0,24.0,radio/TV
696.0,50.0,male,2.0,rent,quite rich,little,1236.0,6.0,car
697.0,29.0,male,2.0,own,little,moderate,1103.0,12.0,radio/TV
698.0,38.0,female,0.0,own,little,little,926.0,12.0,car
699.0,24.0,male,2.0,own,little,little,1800.0,18.0,radio/TV
700.0,40.0,male,3.0,rent,little,rich,1905.0,15.0,education
701.0,29.0,female,1.0,rent,quite rich,little,1123.0,12.0,furniture/equipment
702.0,46.0,male,2.0,free,little,little,6331.0,48.0,car
703.0,47.0,female,2.0,free,moderate,rich,1377.0,24.0,radio/TV
704.0,41.0,male,2.0,own,moderate,moderate,2503.0,30.0,business
705.0,32.0,female,2.0,own,little,moderate,2528.0,27.0,business
706.0,35.0,female,2.0,free,quite rich,little,5324.0,15.0,car
707.0,24.0,male,2.0,own,moderate,moderate,6560.0,48.0,car
708.0,25.0,female,2.0,rent,little,moderate,2969.0,12.0,furniture/equipment
709.0,25.0,female,2.0,own,little,moderate,1206.0,9.0,radio/TV
710.0,37.0,male,1.0,own,little,moderate,2118.0,9.0,radio/TV
711.0,32.0,male,3.0,own,quite rich,little,629.0,18.0,radio/TV
712.0,35.0,female,2.0,free,little,little,1198.0,6.0,education
713.0,46.0,male,3.0,own,little,little,2476.0,21.0,car
714.0,25.0,male,1.0,own,little,little,1138.0,9.0,radio/TV
715.0,27.0,male,3.0,own,little,moderate,14027.0,60.0,car
716.0,63.0,male,2.0,own,little,little,7596.0,30.0,car
717.0,40.0,male,2.0,own,little,little,3077.0,30.0,radio/TV
718.0,32.0,male,3.0,free,little,little,1505.0,18.0,radio/TV
719.0,31.0,male,2.0,own,little,rich,3148.0,24.0,radio/TV
720.0,31.0,male,2.0,own,moderate,moderate,6148.0,20.0,car
721.0,34.0,male,3.0,own,little,rich,1337.0,9.0,radio/TV
722.0,24.0,female,2.0,rent,rich,moderate,433.0,6.0,education
723.0,24.0,female,1.0,own,little,little,1228.0,12.0,car
724.0,66.0,female,1.0,own,quite rich,moderate,790.0,9.0,radio/TV
725.0,21.0,female,2.0,rent,little,little,2570.0,27.0,car
726.0,41.0,female,1.0,own,rich,little,250.0,6.0,car
727.0,47.0,male,1.0,own,quite rich,little,1316.0,15.0,radio/TV
728.0,25.0,female,2.0,rent,little,little,1882.0,18.0,radio/TV
729.0,59.0,female,2.0,rent,little,moderate,6416.0,48.0,business
730.0,36.0,male,2.0,own,rich,rich,1275.0,24.0,business
731.0,33.0,male,2.0,own,little,moderate,6403.0,24.0,radio/TV
732.0,21.0,male,1.0,rent,little,little,1987.0,24.0,radio/TV
733.0,44.0,female,1.0,own,little,moderate,760.0,8.0,radio/TV
734.0,28.0,female,2.0,rent,rich,little,2603.0,24.0,car
735.0,37.0,female,2.0,own,little,little,3380.0,4.0,car
736.0,29.0,female,0.0,own,little,moderate,3990.0,36.0,domestic appliances
737.0,23.0,female,3.0,rent,little,moderate,11560.0,24.0,car
738.0,35.0,male,1.0,own,moderate,little,4380.0,18.0,car
739.0,45.0,male,3.0,own,little,little,6761.0,6.0,car
740.0,26.0,female,1.0,rent,moderate,moderate,4280.0,30.0,business
741.0,32.0,male,2.0,own,moderate,little,2325.0,24.0,car
742.0,23.0,male,1.0,own,little,moderate,1048.0,10.0,radio/TV
743.0,41.0,male,2.0,own,little,little,3160.0,21.0,radio/TV
744.0,22.0,male,2.0,own,quite rich,little,2483.0,24.0,furniture/equipment
745.0,30.0,male,3.0,own,little,little,14179.0,39.0,furniture/equipment
746.0,28.0,male,1.0,own,little,little,1797.0,13.0,business
747.0,23.0,female,2.0,rent,little,little,2511.0,15.0,car
748.0,37.0,female,1.0,own,little,little,1274.0,12.0,car
749.0,26.0,male,2.0,own,little,little,5248.0,21.0,car
750.0,33.0,male,2.0,own,little,little,3029.0,15.0,car
751.0,49.0,female,2.0,own,little,little,428.0,6.0,furniture/equipment
752.0,23.0,female,1.0,own,little,little,976.0,18.0,car
753.0,23.0,female,1.0,rent,moderate,moderate,841.0,12.0,business
754.0,25.0,female,2.0,own,little,little,5771.0,30.0,radio/TV
755.0,55.0,male,2.0,free,rich,little,1555.0,12.0,repairs
756.0,32.0,female,2.0,rent,little,little,1285.0,24.0,car
757.0,74.0,male,0.0,own,little,rich,1299.0,6.0,car
758.0,39.0,male,2.0,free,little,rich,1271.0,15.0,radio/TV
759.0,31.0,male,2.0,own,little,little,1393.0,24.0,car
760.0,35.0,male,2.0,own,little,little,691.0,12.0,car
761.0,59.0,female,2.0,own,little,little,5045.0,15.0,car
762.0,24.0,female,2.0,rent,little,little,2124.0,18.0,furniture/equipment
763.0,24.0,male,1.0,own,little,little,2214.0,12.0,radio/TV
764.0,30.0,male,3.0,free,little,little,12680.0,21.0,car
765.0,27.0,male,2.0,own,moderate,little,2463.0,24.0,car
766.0,40.0,male,1.0,own,little,moderate,1155.0,12.0,radio/TV
767.0,31.0,male,1.0,own,little,little,3108.0,30.0,furniture/equipment
768.0,31.0,female,2.0,rent,little,little,2901.0,10.0,car
769.0,28.0,male,2.0,rent,little,moderate,3617.0,12.0,furniture/equipment
770.0,63.0,male,1.0,own,little,little,1655.0,12.0,radio/TV
771.0,26.0,female,2.0,rent,little,little,2812.0,24.0,car
772.0,25.0,female,3.0,own,little,little,8065.0,36.0,education
773.0,36.0,male,3.0,own,little,little,3275.0,21.0,car
774.0,52.0,male,2.0,own,moderate,little,2223.0,24.0,radio/TV
775.0,66.0,male,0.0,free,quite rich,rich,1480.0,12.0,car
776.0,25.0,female,2.0,rent,little,little,1371.0,24.0,car
777.0,37.0,male,2.0,own,little,little,3535.0,36.0,car
778.0,25.0,female,2.0,own,little,little,3509.0,18.0,radio/TV
779.0,38.0,male,3.0,own,rich,little,5711.0,36.0,car
780.0,67.0,female,2.0,own,little,moderate,3872.0,18.0,repairs
781.0,25.0,male,2.0,own,little,moderate,4933.0,39.0,radio/TV
782.0,60.0,male,2.0,own,rich,little,1940.0,24.0,car
783.0,31.0,male,1.0,own,little,moderate,1410.0,12.0,education
784.0,23.0,female,1.0,own,moderate,moderate,836.0,12.0,car
785.0,60.0,male,3.0,own,little,moderate,6468.0,20.0,car
786.0,35.0,male,1.0,own,rich,moderate,1941.0,18.0,business
787.0,40.0,male,2.0,own,quite rich,little,2675.0,22.0,radio/TV
788.0,38.0,male,2.0,own,little,little,2751.0,48.0,car
789.0,50.0,male,2.0,free,little,moderate,6224.0,48.0,education
790.0,27.0,male,2.0,own,little,little,5998.0,40.0,education
791.0,39.0,female,2.0,own,little,moderate,1188.0,21.0,business
792.0,41.0,male,3.0,own,little,little,6313.0,24.0,car
793.0,27.0,male,2.0,own,little,little,1221.0,6.0,furniture/equipment
794.0,51.0,male,2.0,free,little,rich,2892.0,24.0,furniture/equipment
795.0,32.0,male,2.0,rent,quite rich,little,3062.0,24.0,furniture/equipment
796.0,22.0,female,2.0,rent,moderate,little,2301.0,9.0,furniture/equipment
797.0,51.0,male,2.0,free,little,little,7511.0,18.0,car
798.0,22.0,female,1.0,rent,little,little,1258.0,12.0,furniture/equipment
799.0,54.0,male,2.0,own,little,little,717.0,24.0,car
800.0,35.0,male,0.0,own,little,moderate,1549.0,9.0,car
801.0,54.0,male,2.0,free,little,little,1597.0,24.0,education
802.0,48.0,female,1.0,rent,little,moderate,1795.0,18.0,radio/TV
803.0,24.0,female,2.0,own,little,little,4272.0,20.0,furniture/equipment
804.0,35.0,male,2.0,own,little,little,976.0,12.0,radio/TV
805.0,24.0,female,0.0,rent,little,moderate,7472.0,12.0,car
806.0,24.0,male,2.0,own,little,little,9271.0,36.0,car
807.0,26.0,male,1.0,own,little,moderate,590.0,6.0,radio/TV
